ImgID;Detector;Descriptor;TTCLidar(s);TTCCamera(s);Xmin(m)
3;HARRIS;FREAK;13.9161;-10.295;7.793
4;HARRIS;FREAK;7.11572;12.5101;7.685
5;HARRIS;FREAK;16.2511;#NAME?;7.638
6;HARRIS;FREAK;12.4213;13.6217;7.577
7;HARRIS;FREAK;34.3404;15.8978;7.555
8;HARRIS;FREAK;9.34376;12.9162;7.475
9;HARRIS;FREAK;18.1318;nan;7.434
10;HARRIS;FREAK;18.0318;10.2931;7.393
11;HARRIS;FREAK;3.83244;11.6702;7.205
12;HARRIS;FREAK;-10.8537;11.6948;7.272
13;HARRIS;FREAK;9.22307;13.4095;7.194
14;HARRIS;FREAK;10.9678;12.1403;7.129
15;HARRIS;FREAK;8.09422;#NAME?;7.042
16;HARRIS;FREAK;3.17535;6.6376;6.827
17;HARRIS;FREAK;-9.99424;nan;6.896
18;HARRIS;FREAK;8.30978;nan;6.814
;;;;;
1;HARRIS;SIFT;12.9722;10.9082;7.913
2;HARRIS;SIFT;12.264;80.7525;7.849
3;HARRIS;SIFT;13.9161;-80.8525;7.793
4;HARRIS;SIFT;7.11572;11.3951;7.685
5;HARRIS;SIFT;16.2511;13.6432;7.638
6;HARRIS;SIFT;12.4213;15.2483;7.577
7;HARRIS;SIFT;34.3404;13.497;7.555
8;HARRIS;SIFT;9.34376;13.5704;7.475
9;HARRIS;SIFT;18.1318;3.90277;7.434
10;HARRIS;SIFT;18.0318;#NAME?;7.393
11;HARRIS;SIFT;3.83244;11.2142;7.205
12;HARRIS;SIFT;-10.8537;11.6948;7.272
13;HARRIS;SIFT;9.22307;13.4095;7.194
14;HARRIS;SIFT;10.9678;5.66097;7.129
15;HARRIS;SIFT;8.09422;#NAME?;7.042
16;HARRIS;SIFT;3.17535;7.29175;6.827
17;HARRIS;SIFT;-9.99424;12.5848;6.896
18;HARRIS;SIFT;8.30978;#NAME?;6.814
;;;;;
1;FAST;BRIEF;12.9722;11.2952;7.913
2;FAST;BRIEF;12.264;10.6351;7.849
3;FAST;BRIEF;13.9161;12.7705;7.793
4;FAST;BRIEF;7.11572;13.6141;7.685
5;FAST;BRIEF;16.2511;18.805;7.638
6;FAST;BRIEF;12.4213;13.5019;7.577
7;FAST;BRIEF;34.3404;12.075;7.555
